Display Name,Species ID,HP,Attack,Defense,Speed,Sp. Attack,Sp. Defense,Total Stats,Type 1,Type 2,Growth Rate,Evolution Species,Evolution Method,Evolution Level
Treecko,TREECKO,40,45,35,70,65,55,310,TYPE_GRASS,TYPE_GRASS,GROWTH_MEDIUM_SLOW,GROVYLE,EVO_LEVEL,16
Grovyle,GROVYLE,50,65,45,95,85,65,405,TYPE_GRASS,TYPE_GRASS,GROWTH_MEDIUM_SLOW,SCEPTILE,EVO_LEVEL,36
Sceptile,SCEPTILE,70,85,65,120,105,85,530,TYPE_GRASS,TYPE_GRASS,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Torchic,TORCHIC,45,60,40,45,70,50,310,TYPE_FIRE,TYPE_FIRE,GROWTH_MEDIUM_SLOW,COMBUSKEN,EVO_LEVEL,16
Combusken,COMBUSKEN,60,85,60,55,85,60,405,TYPE_FIRE,TYPE_FIGHTING,GROWTH_MEDIUM_SLOW,BLAZIKEN,EVO_LEVEL,36
Blaziken,BLAZIKEN,80,120,70,80,110,70,530,TYPE_FIRE,TYPE_FIGHTING,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Mudkip,MUDKIP,50,70,50,40,50,50,310,TYPE_WATER,TYPE_WATER,GROWTH_MEDIUM_SLOW,MARSHTOMP,EVO_LEVEL,16
Marshtomp,MARSHTOMP,70,85,70,50,60,70,405,TYPE_WATER,TYPE_GROUND,GROWTH_MEDIUM_SLOW,SWAMPERT,EVO_LEVEL,36
Swampert,SWAMPERT,100,110,90,60,85,90,535,TYPE_WATER,TYPE_GROUND,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Poochyena,POOCHYENA,35,65,40,50,30,30,250,TYPE_DARK,TYPE_DARK,GROWTH_MEDIUM_FAST,MIGHTYENA,EVO_LEVEL,18
Mightyena,MIGHTYENA,75,110,90,75,60,60,470,TYPE_DARK,TYPE_DARK,GROWTH_MEDIUM_FAST,NONE,NONE,0
Zigzagoon,ZIGZAGOON,38,40,41,60,30,41,250,TYPE_NORMAL,TYPE_NORMAL,GROWTH_MEDIUM_FAST,LINOONE,EVO_LEVEL,20
Linoone,LINOONE,80,90,70,100,50,70,460,TYPE_NORMAL,TYPE_NORMAL,GROWTH_MEDIUM_FAST,NONE,NONE,0
Zigzagoon,ZIGZAGOON_GALAR,40,45,60,65,30,60,300,TYPE_DARK,TYPE_NORMAL,GROWTH_MEDIUM_FAST,LINOONE_GALAR,EVO_LEVEL,20
Linoone,LINOONE_GALAR,80,90,70,100,50,70,460,TYPE_DARK,TYPE_NORMAL,GROWTH_MEDIUM_FAST,OBSTAGOON,EVO_LEVEL,35
Obstagoon,OBSTAGOON,93,90,101,95,60,81,520,TYPE_DARK,TYPE_NORMAL,GROWTH_MEDIUM_FAST,NONE,NONE,0
Wurmple,WURMPLE,45,45,35,20,20,35,200,TYPE_BUG,TYPE_BUG,GROWTH_MEDIUM_FAST,SILCOON,EVO_LEVEL_SILCOON,7
Wurmple,WURMPLE,45,45,35,20,20,35,200,TYPE_BUG,TYPE_BUG,GROWTH_MEDIUM_FAST,CASCOON,EVO_LEVEL_CASCOON,7
Silcoon,SILCOON,70,35,55,15,25,25,225,TYPE_BUG,TYPE_BUG,GROWTH_MEDIUM_FAST,BEAUTIFLY,EVO_LEVEL,10
Beautifly,BEAUTIFLY,60,70,50,65,0,50,295,TYPE_BUG,TYPE_FLYING,GROWTH_MEDIUM_FAST,NONE,NONE,0
Cascoon,CASCOON,70,35,55,15,25,25,225,TYPE_BUG,TYPE_BUG,GROWTH_MEDIUM_FAST,DUSTOX,EVO_LEVEL,10
Dustox,DUSTOX,60,50,70,65,50,90,385,TYPE_BUG,TYPE_POISON,GROWTH_MEDIUM_FAST,NONE,NONE,0
Lotad,LOTAD,40,30,40,35,60,70,275,TYPE_WATER,TYPE_GRASS,GROWTH_MEDIUM_SLOW,LOMBRE,EVO_LEVEL,14
Lombre,LOMBRE,60,50,50,50,60,70,340,TYPE_WATER,TYPE_GRASS,GROWTH_MEDIUM_SLOW,LUDICOLO,EVO_ITEM,ITEM_WATER_STONE
Ludicolo,LUDICOLO,80,70,70,70,100,110,500,TYPE_WATER,TYPE_GRASS,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Seedot,SEEDOT,60,50,60,35,35,45,285,TYPE_GRASS,TYPE_GRASS,GROWTH_MEDIUM_SLOW,NUZLEAF,EVO_LEVEL,14
Nuzleaf,NUZLEAF,70,70,40,60,60,40,340,TYPE_GRASS,TYPE_DARK,GROWTH_MEDIUM_SLOW,SHIFTRY,EVO_ITEM,ITEM_LEAF_STONE
Shiftry,SHIFTRY,90,110,60,80,100,60,500,TYPE_GRASS,TYPE_DARK,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Taillow,TAILLOW,40,55,30,85,30,30,270,TYPE_NORMAL,TYPE_FLYING,GROWTH_MEDIUM_SLOW,SWELLOW,EVO_LEVEL,22
Swellow,SWELLOW,60,85,65,125,75,65,475,TYPE_NORMAL,TYPE_FLYING,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Wingull,WINGULL,45,40,40,85,60,30,300,TYPE_WATER,TYPE_FLYING,GROWTH_MEDIUM_FAST,PELIPPER,EVO_LEVEL,25
Pelipper,PELIPPER,70,60,100,65,0,70,365,TYPE_WATER,TYPE_FLYING,GROWTH_MEDIUM_FAST,NONE,NONE,0
Ralts,RALTS,30,25,25,40,45,35,200,UNKNOWN,UNKNOWN,GROWTH_SLOW,KIRLIA,EVO_LEVEL,20
Kirlia,KIRLIA,40,35,35,55,70,55,290,UNKNOWN,UNKNOWN,GROWTH_SLOW,GARDEVOIR,EVO_LEVEL,30
Kirlia,KIRLIA,40,35,35,55,70,55,290,UNKNOWN,UNKNOWN,GROWTH_SLOW,GALLADE,EVO_ITEM_MALE,ITEM_DAWN_STONE
Gardevoir,GARDEVOIR,68,65,65,80,125,115,518,UNKNOWN,UNKNOWN,GROWTH_SLOW,NONE,NONE,0
Gallade,GALLADE,68,125,65,80,65,115,518,TYPE_PSYCHIC,TYPE_FIGHTING,GROWTH_SLOW,NONE,NONE,0
Surskit,SURSKIT,40,35,35,65,55,55,285,TYPE_BUG,TYPE_WATER,GROWTH_MEDIUM_FAST,MASQUERAIN,EVO_LEVEL,22
Masquerain,MASQUERAIN,70,75,65,80,100,85,475,TYPE_BUG,TYPE_FLYING,GROWTH_MEDIUM_FAST,NONE,NONE,0
Shroomish,SHROOMISH,60,45,60,35,40,60,300,TYPE_GRASS,TYPE_GRASS,GROWTH_FLUCTUATING,BRELOOM,EVO_LEVEL,23
Breloom,BRELOOM,70,130,90,80,60,60,490,TYPE_GRASS,TYPE_FIGHTING,GROWTH_FLUCTUATING,NONE,NONE,0
Slakoth,SLAKOTH,60,60,60,30,40,40,290,TYPE_NORMAL,TYPE_NORMAL,GROWTH_SLOW,VIGOROTH,EVO_LEVEL,18
Vigoroth,VIGOROTH,80,80,80,90,55,55,440,TYPE_NORMAL,TYPE_NORMAL,GROWTH_SLOW,SLAKING,EVO_LEVEL,36
Slaking,SLAKING,150,160,100,100,95,65,670,TYPE_NORMAL,TYPE_NORMAL,GROWTH_SLOW,NONE,NONE,0
Nincada,NINCADA,40,55,90,40,35,40,300,TYPE_BUG,TYPE_GROUND,GROWTH_ERRATIC,NINJASK,EVO_LEVEL_NINJASK,20
Nincada,NINCADA,40,55,90,40,35,40,300,TYPE_BUG,TYPE_GROUND,GROWTH_ERRATIC,SHEDINJA,EVO_LEVEL_SHEDINJA,20
Ninjask,NINJASK,61,90,45,160,50,50,456,TYPE_BUG,TYPE_FLYING,GROWTH_ERRATIC,NONE,NONE,0
Shedinja,SHEDINJA,1,110,30,90,100,30,361,TYPE_BUG,TYPE_GHOST,GROWTH_ERRATIC,NONE,NONE,0
Whismur,WHISMUR,65,65,25,30,65,25,275,TYPE_NORMAL,TYPE_NORMAL,GROWTH_MEDIUM_SLOW,LOUDRED,EVO_LEVEL,20
Loudred,LOUDRED,85,75,45,50,75,45,375,TYPE_NORMAL,TYPE_NORMAL,GROWTH_MEDIUM_SLOW,EXPLOUD,EVO_LEVEL,40
Exploud,EXPLOUD,104,101,63,78,101,73,520,TYPE_NORMAL,TYPE_NORMAL,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Makuhita,MAKUHITA,75,75,50,30,20,50,300,TYPE_FIGHTING,TYPE_FIGHTING,GROWTH_FLUCTUATING,HARIYAMA,EVO_LEVEL,24
Hariyama,HARIYAMA,144,120,65,50,40,65,484,TYPE_FIGHTING,TYPE_FIGHTING,GROWTH_FLUCTUATING,NONE,NONE,0
Nosepass,NOSEPASS,30,45,135,30,45,90,375,TYPE_ROCK,TYPE_ROCK,GROWTH_MEDIUM_FAST,PROBOPASS,EVO_MAPSEC,MAPSEC_NEW_MAUVILLE
Nosepass,NOSEPASS,30,45,135,30,45,90,375,TYPE_ROCK,TYPE_ROCK,GROWTH_MEDIUM_FAST,PROBOPASS,EVO_ITEM,ITEM_THUNDER_STONE
Probopass,PROBOPASS,60,55,145,40,75,150,525,TYPE_ROCK,TYPE_STEEL,GROWTH_MEDIUM_FAST,NONE,NONE,0
Skitty,SKITTY,50,50,45,55,50,50,300,TYPE_NORMAL,TYPE_NORMAL,GROWTH_FAST,DELCATTY,EVO_ITEM,ITEM_MOON_STONE
Delcatty,DELCATTY,70,75,75,70,75,75,440,TYPE_NORMAL,TYPE_NORMAL,GROWTH_FAST,NONE,NONE,0
Sableye,SABLEYE,75,75,75,50,75,75,425,TYPE_DARK,TYPE_GHOST,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Mawile,MAWILE,50,105,85,50,65,70,425,UNKNOWN,UNKNOWN,GROWTH_FAST,NONE,NONE,0
Aron,ARON,50,70,100,30,40,40,330,TYPE_STEEL,TYPE_ROCK,GROWTH_SLOW,LAIRON,EVO_LEVEL,32
Lairon,LAIRON,60,90,140,40,50,50,430,TYPE_STEEL,TYPE_ROCK,GROWTH_SLOW,AGGRON,EVO_LEVEL,42
Aggron,AGGRON,70,110,180,50,60,60,530,TYPE_STEEL,TYPE_ROCK,GROWTH_SLOW,NONE,NONE,0
Meditite,MEDITITE,40,45,55,60,45,55,300,TYPE_FIGHTING,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,MEDICHAM,EVO_LEVEL,37
Medicham,MEDICHAM,70,70,80,80,80,80,460,TYPE_FIGHTING,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,NONE,NONE,0
Electrike,ELECTRIKE,40,50,40,65,65,40,300,TYPE_ELECTRIC,TYPE_ELECTRIC,GROWTH_SLOW,MANECTRIC,EVO_LEVEL,26
Manectric,MANECTRIC,70,75,60,105,105,60,475,TYPE_ELECTRIC,TYPE_ELECTRIC,GROWTH_SLOW,NONE,NONE,0
Plusle,PLUSLE,60,50,40,95,85,75,405,TYPE_ELECTRIC,TYPE_ELECTRIC,GROWTH_MEDIUM_FAST,NONE,NONE,0
Minun,MINUN,60,40,50,95,75,85,405,TYPE_ELECTRIC,TYPE_ELECTRIC,GROWTH_MEDIUM_FAST,NONE,NONE,0
Volbeat,VOLBEAT,65,73,0,85,47,0,270,TYPE_BUG,TYPE_BUG,GROWTH_ERRATIC,NONE,NONE,0
Illumise,ILLUMISE,65,47,0,85,73,0,270,TYPE_BUG,TYPE_BUG,GROWTH_FLUCTUATING,NONE,NONE,0
Budew,BUDEW,40,35,35,55,50,70,285,TYPE_GRASS,TYPE_POISON,GROWTH_MEDIUM_SLOW,ROSELIA,EVO_FRIENDSHIP,0
Roselia,ROSELIA,50,60,45,65,100,80,400,TYPE_GRASS,TYPE_POISON,GROWTH_MEDIUM_SLOW,ROSERADE,EVO_ITEM,ITEM_SHINY_STONE
Roserade,ROSERADE,60,70,55,90,125,105,505,TYPE_GRASS,TYPE_POISON,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Gulpin,GULPIN,70,43,53,40,43,53,302,TYPE_POISON,TYPE_POISON,GROWTH_FLUCTUATING,SWALOT,EVO_LEVEL,26
Swalot,SWALOT,100,75,95,55,75,95,495,TYPE_POISON,TYPE_POISON,GROWTH_FLUCTUATING,NONE,NONE,0
Carvanha,CARVANHA,45,90,20,65,65,20,305,TYPE_WATER,TYPE_DARK,GROWTH_SLOW,SHARPEDO,EVO_LEVEL,30
Sharpedo,SHARPEDO,70,125,45,95,95,45,475,TYPE_WATER,TYPE_DARK,GROWTH_SLOW,NONE,NONE,0
Wailmer,WAILMER,130,70,35,60,70,35,400,TYPE_WATER,TYPE_WATER,GROWTH_FLUCTUATING,WAILORD,EVO_LEVEL,40
Wailord,WAILORD,170,90,45,60,90,45,500,TYPE_WATER,TYPE_WATER,GROWTH_FLUCTUATING,NONE,NONE,0
Numel,NUMEL,60,60,40,35,65,45,305,TYPE_FIRE,TYPE_GROUND,GROWTH_MEDIUM_FAST,CAMERUPT,EVO_LEVEL,33
Camerupt,CAMERUPT,70,100,70,40,105,100,485,TYPE_FIRE,TYPE_GROUND,GROWTH_MEDIUM_FAST,NONE,NONE,0
Torkoal,TORKOAL,70,85,140,20,85,75,475,TYPE_FIRE,TYPE_FIRE,GROWTH_MEDIUM_FAST,NONE,NONE,0
Spoink,SPOINK,60,25,35,60,70,80,330,TYPE_PSYCHIC,TYPE_PSYCHIC,GROWTH_FAST,GRUMPIG,EVO_LEVEL,32
Grumpig,GRUMPIG,80,45,65,80,90,110,470,TYPE_PSYCHIC,TYPE_PSYCHIC,GROWTH_FAST,NONE,NONE,0
Spinda,SPINDA,60,60,60,60,60,60,360,TYPE_NORMAL,TYPE_NORMAL,GROWTH_FAST,NONE,NONE,0
Trapinch,TRAPINCH,50,100,45,15,45,45,300,TYPE_GROUND,TYPE_GROUND,GROWTH_MEDIUM_SLOW,VIBRAVA,EVO_LEVEL,35
Vibrava,VIBRAVA,50,70,50,70,50,50,340,TYPE_GROUND,TYPE_DRAGON,GROWTH_MEDIUM_SLOW,FLYGON,EVO_LEVEL,45
