Display Name,Species ID,HP,Attack,Defense,Speed,Sp. Attack,Sp. Defense,Total Stats,Type 1,Type 2,Growth Rate,Evolution Species,Evolution Method,Evolution Level
Turtwig,TURTWIG,55,68,64,31,45,55,318,TYPE_GRASS,TYPE_GRASS,GROWTH_MEDIUM_SLOW,GROTLE,EVO_LEVEL,18
Grotle,GROTLE,75,89,85,36,55,65,405,TYPE_GRASS,TYPE_GRASS,GROWTH_MEDIUM_SLOW,TORTERRA,EVO_LEVEL,32
Torterra,TORTERRA,95,109,105,56,75,85,525,TYPE_GRASS,TYPE_GROUND,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Chimchar,CHIMCHAR,44,58,44,61,58,44,309,TYPE_FIRE,TYPE_FIRE,GROWTH_MEDIUM_SLOW,MONFERNO,EVO_LEVEL,14
Monferno,MONFERNO,64,78,52,81,78,52,405,TYPE_FIRE,TYPE_FIGHTING,GROWTH_MEDIUM_SLOW,INFERNAPE,EVO_LEVEL,36
Infernape,INFERNAPE,76,104,71,108,104,71,534,TYPE_FIRE,TYPE_FIGHTING,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Piplup,PIPLUP,53,51,53,40,61,56,314,TYPE_WATER,TYPE_WATER,GROWTH_MEDIUM_SLOW,PRINPLUP,EVO_LEVEL,16
Prinplup,PRINPLUP,64,66,68,50,81,76,405,TYPE_WATER,TYPE_WATER,GROWTH_MEDIUM_SLOW,EMPOLEON,EVO_LEVEL,36
Empoleon,EMPOLEON,84,86,88,60,111,101,530,TYPE_WATER,TYPE_STEEL,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Starly,STARLY,40,55,32,63,30,30,250,TYPE_NORMAL,TYPE_FLYING,GROWTH_MEDIUM_SLOW,STARAVIA,EVO_LEVEL,14
Staravia,STARAVIA,55,75,50,80,40,40,340,TYPE_NORMAL,TYPE_FLYING,GROWTH_MEDIUM_SLOW,STARAPTOR,EVO_LEVEL,34
Staraptor,STARAPTOR,85,120,70,100,50,0,425,TYPE_NORMAL,TYPE_FLYING,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Bidoof,BIDOOF,59,45,40,31,35,40,250,TYPE_NORMAL,TYPE_NORMAL,GROWTH_MEDIUM_FAST,BIBAREL,EVO_LEVEL,15
Bibarel,BIBAREL,79,85,60,71,55,60,410,TYPE_NORMAL,TYPE_WATER,GROWTH_MEDIUM_FAST,NONE,NONE,0
Kricketot,KRICKETOT,45,30,45,30,30,45,225,TYPE_BUG,TYPE_BUG,GROWTH_MEDIUM_SLOW,KRICKETUNE,EVO_LEVEL,10
Kricketune,KRICKETUNE,77,85,51,65,55,51,384,TYPE_BUG,TYPE_BUG,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Shinx,SHINX,45,65,40,50,40,40,280,TYPE_ELECTRIC,TYPE_ELECTRIC,GROWTH_MEDIUM_SLOW,LUXIO,EVO_LEVEL,15
Luxio,LUXIO,60,85,49,60,60,49,363,TYPE_ELECTRIC,TYPE_ELECTRIC,GROWTH_MEDIUM_SLOW,LUXRAY,EVO_LEVEL,30
Luxray,LUXRAY,80,120,79,70,95,79,523,TYPE_ELECTRIC,TYPE_ELECTRIC,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Cranidos,CRANIDOS,67,125,40,58,30,30,350,TYPE_ROCK,TYPE_ROCK,GROWTH_ERRATIC,RAMPARDOS,EVO_LEVEL,30
Rampardos,RAMPARDOS,97,165,60,58,65,50,495,TYPE_ROCK,TYPE_ROCK,GROWTH_ERRATIC,NONE,NONE,0
Shieldon,SHIELDON,30,42,118,30,42,88,350,TYPE_ROCK,TYPE_STEEL,GROWTH_ERRATIC,BASTIODON,EVO_LEVEL,30
Bastiodon,BASTIODON,60,52,168,30,47,138,495,TYPE_ROCK,TYPE_STEEL,GROWTH_ERRATIC,NONE,NONE,0
Burmy,BURMY_PLANT,40,29,45,36,29,45,224,TYPE_BUG,TYPE_BUG,GROWTH_MEDIUM_FAST,WORMADAM_PLANT,EVO_LEVEL_FEMALE,20
